text,filename,stopwords,punctuation,numerics,upper
nonverbal behavior play crucial role human communication often lead misunderstanding people different culture even speak language fluently translation system available verbal communication translator nonverbal communication exist yet present conceptual design early prototype realtime gesture translator use body track gesture recognition avatarmediated intercultural interaction contribute ambitious goal bridging culture translate culturespecific gesture enhance mutual understanding possible application gesture translator discuss facilitate tool global business meeting mean technologyenhanced conflict resolution prevention,075.txt,39,11,0,0
cost illness coi study undertaken estimate magnitude range lifetime effect associate child maltreatment australia use incidencebased approach cost primarily estimate calculation population attributable fraction pafs determine marginal effect child maltreatment range outcome pafs apply estimate expenditure inflated australian dollar project life course accord baseline age incident case child maltreatment discount per annum sensitivity analysis conduct use best low bound estimate incidence child abuse best estimate total estimate lifetime financial cost incident case child maltreatment billion cost per child maltreat low bound billion best estimate lifetime cost associate reduced quality life premature mortality nonfinancial cost incident case child maltreatment billion per child maltreat considerable lifetime cost associate child maltreatment warrant expansion exist investment primary secondary prevention target support service child family risk c elsevier ltd right reserve,061.txt,66,43,1,3
aim study determine effect psychoeducation receive family member patient firstepisode schizophrenia express emotion ee family function family member study quasiexperimental design control group sample study family member experimental control patient firstepisode schizophrenia experimental group receive week psychoeducation group ee family functioning assess begin end psychoeducation program ee criticismhostility involvementprotectingintervention level family member decrease end psychoeducation p family function change end psychoeducation p assess healthy consequently early psychoeducational group may effective decrease ee level improve family function family member patient firstepisode schizophrenia,088.txt,66,30,2,4
objective aim study examine eye gaze pattern patient physicians electronic health record use support patient care background eye gaze provide indication physician attention patient patientphysician interaction physician behavior search information document information method field study conduct patient visit observe video record primary care clinic video cod gaze behavior patient physician gaze artifacts electronic health record cod use preestablished objective cod scheme gaze data analyze use lag sequential method result result show several eye gaze pattern significantly dependent doctorinitiated gaze pattern follow patient gaze pattern patientinitiated gaze pattern also follow doctor gaze pattern significantly unlike finding previous study health information technology appear contribute new significant pattern emerge difference also find gaze pattern related technology differ pattern identify study paper chart several sequence relate patientdoctortechnology also significant electronic health record affect patientphysician eye contact dynamic differently paper chart conclusion study identify several pattern patientphysician interaction electronic health record system consistent previous study physician initiate gaze important driver interaction patient physician patient technology publish elsevier ireland ltd,077.txt,79,33,1,1
across eight jurisdiction australia mandatory reporting obligation threshold report vary teacher one group professional mandate report child maltreatment yet teacher still reluctant make report paper examine barrier discourage teacher report child maltreatment also whether teacher consider necessary question child maltreatment decide report make thirty semistructured interview victorian primary school teacher thematically analyse revealed inadequate inconsistent mandatory report train need certainty initiate report ambiguous concept neglect barrier teacher identify report child maltreatment analysis reveal teacher gather evidence confirm disconfirm suspicion maltreatment question suspect child victim consequence practice discuss along recommendation help overcome barrier make formal report child maltreatment suspect,063.txt,63,10,0,0
purpose purpose paper investigate halbach array effect surface mount permanent magnet machine smpm term selfsensing torque capability comparison conventional smpm radially magnetize rotor halbach machine carry designmethodologyapproach geometric parameter two machine optimize use genetic algorithm ga look pareto performance machine geometry calculate finite element analysis fea software two parametric machine model realize matlab couple fea ga toolbox out volume machine thus copper loss per volume keep constant pareto front approach simultaneously considers look two aim use provide tradeoff torque sensorless performance find two machine result compare separately load condition accord result superiority halbach machine show term sensorless capability compromise torque performance additionally paper show selfsensing property smpm machine consider design stage machine originalityvalue halbach machine design optimization present use pareto optimal set provide tradeoff comparison two aim without use weighting sensorless performance torque capability work sensorless capability halbach type smpm literature,103.txt,86,39,0,10
suppose piston nonzero mass enclose ideal gas vertical cylinder piston cylinder thermally insulate energy lose heat transfer surroundings piston set motion oscillates like block spring however motion damp gas density pressure immediately adjacent piston high low bulk value depend whether piston compress expand gas respectively automatically give rise drag force linear velocity piston necessary add extra dissipative term kinetic friction piston cylinder viscosity gas damp motion piston idea thus helpful undergraduate student perform ruchardt experiment measure ratio heat capacity gas,117.txt,70,13,0,0
polymer blending use onestep surface modification technique alter wettability electrospun mat work blend hydrophobic thermoplastic elastomer see hydrophilic peo amphiphilic peoppopeo prepare result surface property investigate low surface energy ppo block drive segregation amphiphilic polymer hydrophilization achieve aqueous medium surprisingly surface segregation continue room temperature week process expected equilibrium blend morphology discuss explain age result addition effect different matrix mobility amphiphilic molecule analyze compare segregation peoppopeo rubbery seb rigid p low glass transition temperature seb increase free volume fraction room temperature facilitate segregation,116.txt,43,15,0,8
measure dynamic performance machine tool design merit important performance indicator paper use proe ansys workbench integrate development platform certain type grinder bed threedimensional modeling modal analysis improve dynamic performance base result various part structure size internal rib rational layout optimization design provide theoretical basis camshaft grind machine design,102.txt,30,7,0,1
maternal history childhood maltreatment think potent risk factor child abuse neglect yet extent continuity across generation unclear study report vastly different rate intergenerational transmission disparate finding may due lack attention nature maltreatment experience generation seek expand current literature examine role maltreatment type perpetrator identity substantiation status report child protective service cps intergenerational maltreatment among adolescent mother n child find mother least one report childhood maltreatment substantiate odds maltreated child increase compare mother maltreat odds considerably low limited analysis substantiate report maternal history substantiate neglect multiple type maltreatment neglect physical sexual abuse associate increase risk child maltreatment yet likelihood child experience multiple maltreatment perpetrate mother identified perpetrator increase mother childhood history multiple maltreatment c elsevier ltd right reserve,062.txt,70,32,1,4
objective stimulation nerve growth factor focus transcranial extracorporeal shock wave therapy teswt make effective person within unresponsive wakefulness syndrome apallic syndrome design eight year brain lesion five patient unresponsive wakefulness syndrome differ severity receive teswt device duolith storz medical fourweek physicomedical complex therapies previous year treat complex therapy without teswt vigilance change result twofour year average treatment series patient abilities improved german coma remission scale kr glasgow coma scale motor area kr patient improve three peg feed tube could remove nonverbal communication initiate four time conclusion longitudinal observation study focus teswt stimulate vigilance patient unresponsive wakefulness syndrome precise neurophysiological effect remain verified study clinical result,076.txt,47,36,1,11
objective present study compare polymorphism il beta muc gene patient burn mouth syndrome bm control investigate relationship polymorphisms clinical characteristic bms patient forty female bm patient gender agematched control include genomic dna extract saliva sample singlenucleotide polymorphisms il beta variation number tandem repeat vntr polymorphism muc analyze relationship genotypic polymorphism data clinical characteristic bm patient also analyze significant difference genotype il beta muc group significant difference symptom duration intensity bm patient accord il beta muc genotype allele il beta show association psychometry result bms patient paranoid ideation p global severity index p positive symptom total p genotypic polymorphism il beta muc vntr direct association development bm however allele il beta may increase risk bm increase psychological asthenia genotypic polymorphism il beta may increase risk development bm increase psychological asthenia,089.txt,74,53,1,30
consider scalar balance law strict convex flux paper study l stability shock scalar balance law shift function base relative entropy result generalize leger work provide simple proof leger proof,099.txt,20,10,0,1
human communication cover two form verbal nonverbal nonverbal communication indispensable inseparable part human interaction communication main part nonverbal communication body language include posture gesture eye contact facial expression body language play important role utterance mean supplement accent repetition substitute body language belong part culture unavoidable body language misunderstand since different meaning different culture background necessary u master body language different culture thesis focus communicative function body language perceptive cultural difference way people understand body language well improve communicationl,072.txt,40,17,0,0
amendment make child abuse prevention treatment act individual disability education improvement act open door promise partnership child welfare service early intervention ei agency require referral ei service child age involve substantiated case child abuse neglect illegal drug exposure however little research conduct assess implication policy use data draw nationally representative study conduct observe less fifth child substantiate case receive referral developmental service approximately year passage amendment child contact u child welfare system hispanic child immigrant demonstrate great developmental need yet among least likely receive ei service end study period implication policy practice discuss,066.txt,60,19,4,4
selection suitable work fluid use organic rankine cycle orc strongly addict intend application orc system design orc kind heat source ambient condition influence performance organic rankine cycle selection work fluid come discrepancy best candidate thermodynamic point view transformation real machine design axial turbine design consider expansion energy conversion within orc vapor volume flow ratio within expansion path pressure ratio course number stage consider within fluid selection process design parameter furthermore environmental aspect take account eg global warm potential gwp flammability select fluid paper show result design fluid selection process organic rankine cycle application combine operation mw class industrial gas turbine gas turbine contain two radial compressor stage integrate intercooler increase thermal cycle efficiency recuperator implement gas turbine cycle use exhaust gas waste heat preheat compress air second compressor enters combustion chamber shaft power generate three stage axial turbine whereby first stage convection cool stage due turbine inlet temperature degrees c increase electrical efficiency power output energy conversion cycle combine operation organic rankine cycle intend therefore waste heat gt compressor intercooler use first heat source waste heat exhaust gas recuperator second heat source organic rankine cycle intend orc fluid act heat absorption fluid within compressor intercooler due specification orc detailed thermodynamic analysis perform determine optimal design parameter best work fluid orc order obtain maximum power output combine cycle due twice couple orc gt cycle heat exchange two cycle bound detailed analysis couple cycle necessary eg ambient temperature enormous influence transfer heat intercooler orc cycle affect heat transfer temperatures transferable heat second heat source thus detailed analysis consider ambient operation condition perform order provide efficient energy conversion system wide operation range performance analysis show application orc combine operation intercooled recuperate gas turbine combine cycle efficiency increase wide ambient condition range pts electrical power output comparison stand alone intercooled recuperate gas turbine,106.txt,223,49,3,15
analytic thermodynamic model establish quantitatively investigate wet state droplet nanopatterned surface base calculation free energy droplet wenzel state cassiebaxter state find size shape nanostructured surface play crucial role wet state detail nanoholepatterned surface deep thin nanoholes lead cassiebaxter state contrarily shallow thick nanoholes result wenzel state however droplet wenzel state pattern surface small height radii nanopillars cassiebaxter state height radius nanopillars large furthermore intuitive phase diagram wet state droplet space surface geometrical parameter obtain theoretical result good agreement experimental observation reveal physical mechanism involve effect nanopatterned surface wet state implies study may provide useful guidance conscious design pattern surface control wet state droplet,112.txt,74,18,0,0
every evolution fluid uniquely describe energy tensor converse true energy tensor may describe evolution different fluid problem determine call inverse problem problem may admit unphysical nondeterministic solution paper devote solve inverse problem perfect energy tensor class perfect fluid evolve local thermal equilibrium lte start point previous result coll ferrando j math phys show thermodynamic fluid evolve lte admit purely hydrodynamic characterization characterization allow solve inverse problem compact form paradigmatic case perfect energy tensor represent evolution ideal gas study detail application example outline,113.txt,45,23,0,1
paper design develop new type rectifier bridge machine equipment efficiently automatic mode manual mode complete detection classification rectifier bridge laser mark pendulum work greatly improve sort efficiency rectifier bridge mechanical structure work principle equipment expound,107.txt,24,5,0,0
result assignment federal bureau investigation fbi behavioral science unit author consult firsthand knowledge case discuss cheits book come believe middle ground victim allege may true accurate may misperceive distorted may symbolic may contaminate false problem challenge however determine basically agree much cheit set forth seed truth many allegation concern confuse inconsistent definition refer many backlash confuse cheit refers book witchhunt narrative many professional include possibly cheit seem fully aware wide diversity way child sexually victimize author believe delay report minimization recent case involve catholic priest penn sate inaccurate stereotype perpetuate child abuse idealist witchhunt narrative law enforcement perspective benefit would come cheits extensive research focus documenting allegation become bizarre inaccurate less alleged farranging harm cause witchhunt narrative author opinion process witchhunt narrative cause longterm damage discuss,067.txt,111,32,0,1
paper conduct research difference uighur han chinese communication etiquette custom psychological characteristic crosscultural environment empathy process crosscultural communication subject adapts good good mean communication crosscultural communication must improve sensitivity taboo taboo custom different people nation way eliminate communication barrier conflict achieve smooth harmonious language communication article use theory intercultural communication understand uygur traditional culture dissolve contradiction obstacles communication article two aspect language communication nonverbal communication process crosscultural communication problem enumerate analyzed meaningful,073.txt,53,15,0,0
paper present result numerical study unsteady threedimensional natural convection powerlaw fluid thick wall vessel driven natural heat convection surround air inside cubical cavity continuity linear momentum energy equation internal otswald waele shear thin fluid power index n use describe fluid mechanic natural heat transfer along conjugate continuity navier stokes energy equation external newtonian air flow transient heat diffusion equation wall inner fluid container unsteady d thermal convection inner shearthinning fluid n analyze comparison fluid mechanic heat transfer result newtonian fluid n two value rayleigh number ra x x thermophysical property inner fluid allow change temperature two value rayleigh number newtonian power law nonnewtonian inner fluid numerical simulation carry anin house fortran finite volume method parallelize code result evolution fluid mechanic describe term streamlines relate unsteady convective heat transfer term isotherms c elsevier masson sa right reserve,098.txt,81,38,2,3
submu multimodal analog frontend ultralow energy biosensing cmos soc present mu photoplethysmography ppg signal chain consumes five time low power state art demonstrate snr dbfs achieve use circuit system technique enable sub analog duty cycling input signalaware onthefly realtime data path adaptation algorithms implement external microcontroller synchronize ultralow power onchip fsm along mu w b ksps sar adc low system energy programmable asynchronous reset capacitive amplifier parca noise efficiency factor nef dxdt analog feature extractor demonstrate energy efficient electrocardiogram ecg capture wearable platform use soc simultaneously capture ecg plus ppg wirelessly transmit heart rate use bluetooth low energy every smartphone last great five day mahr battery,059.txt,34,38,1,18
although case child abuse among migrant family often report social medium issue child maltreatment among migrant family china receive little empirical attention study investigate prevalence child maltreatment parent among migrant family individual family communitylevel risk factor associate child abuse context survey conduct migrant local adolescent shenzhen south china stratify twostage cluster sample design logistic regression analysis conduct compare prevalence maltreatment migrant local adolescent also explore risk factor associate psychological physical maltreatment group result show parenttochild abuse prevalent among migrant local adolescent migrant adolescent time likely psychologically physically abused parent local counterpart low academic performance delinquent behavior family economic adversity low parent attachment put migrant adolescent increase risk psychological physical maltreatment neighborhood disorganization significantly related psychological aggression among migrant adolescent finding confirm child abuse perpetuate parent serious problem mainland china especially among migrant family implication policy practice discuss c elsevier ltd right reserve,065.txt,67,29,3,2
embodiment become central topic ritual study recent decade great deal change comprehension ritual nature main characteristic knowledge become benefit liturgy research interpret ritual base understanding physical act gesture attitude also find dimension express liturgy term attitude physical mental well occurrence deep embodiment attitude liturgy signification liturgy take place something verbal way nonverbal communication often deal however reflect liturgy science text aim analysis certain approach help understanding nature liturgical act always essentially ritual act,071.txt,54,15,0,0
provision healthcare create significant environmental impact mitigation attempt variety way vary nation nation line differ policy priority resource availability environmental performance hospital enhance example green building waste energy management product design however unpredictable occupant behaviour new research outcomes evolve best practice require healthcare react respond ever challenge change environment clearly one set action appropriate jurisdiction many author point negative environmental impact cause healthcare study focus particular aspect mitigation isolation reason optimal argue tackle impact mitigation whole system approach likely effective illustrate approach might entail practice evaluation systematic implementation impact mitigation irelands large teach hospital cork university hospital present approach bring together voluntary initiative particular emanate governmental nongovernmental organisation peer support adaptation programme design originally environmental education purpose specific measure initiative describe analysis result plan future action provide basis evaluation successes achieve achieve mitigation objective crucial attribute approach retain flexibility connectivity time thereby ensure continual responsiveness evolve regulation best practice green healthcare demonstrate implementation cork result mitigation exist impact also commitment continual improvement system approach widely adopt healthcare sector need leadership regulator stakeholder strong support cork find environmental education programme especially action reward base programme utilised campuss academic affiliate particular university college cork especially effective framework address sustainability challenge develop however within healthcare implementation environmental initiative must prioritise patient safety approach adopt delivery across health service sector ireland c elsevier ltd right reserve,139.txt,133,43,1,2
model propose calculate composition gaasxpx solid solution base iterative determination equilibrium partial pressure pyrolysis product start reagent follow calculation composition solid solution adsorptiondesorption model propose model ensure good agreement calculation result experimental data,111.txt,21,6,0,1
ignitor program maintains objective approach dt ignition condition incorporate systematical advance make relevant high field magnet technology experiment high density well confine plasmas present machine design additional objective charting development high field line experiment go alcator machine ignitor device rationale class experiment aim produce poloidal field high possible value compatible proven safety factor know plasma instability give basis favourable property high density plasma produce systematically line machine envision future line base novel high field superconducting magnet include possibility investigate advanced fusion burn condition dt plasmas ignitor design consider detailed machine design carry coppi et al nucl fusion advance make different area physic technology relevant ignitor project report include within follow section present paper main component issue assembly weld procedure robotics criterion nonlinear feedback control simulation threedimensional structure disruption study icrh dedicated diagnostics system anomalous transport process include selforganization fusion burn regime zerodimensional model tridimensional structure thermonuclear instability control provision superconducting component present machine envision experiment high field superconducting magnet,105.txt,83,32,2,3
complexity product increase function structure include lead high requirement well understand user behaviour term use product early engineering design phase although industry academia agree human aspect important success product method support designer concern factor synthesis design process article describe behaviour design approach bda use industrial engineer designer ergonomists ergonomic analysis evaluation product machine design approach develop expert nonexpert practitioner integrate user behaviour product behaviour design phase improve product performance,104.txt,54,13,0,1
advancement power electronics new material novel bearing technology active development high speed machine recent year simple rotor structure make switched reluctance machine srm candidate high speed operation paper present design low power rpm srm toroidally wound stator finite element analysis fea show equivalence conventionally wind srms term torque capability conventional asymmetric converter classic angular control toroidalwinding srm tsrm able produce w mechanical power efficiency fea stage consider enhance cool capability wind directly expose air toroidal wind good option highspeed srm,110.txt,39,23,0,9
concept green building gain rapid recognition recently develop u green build council leadership energy environmental design leed one successful green building rating system understanding performance leed certify building various leed credit therefore important practitioner regulatory authority paper analyse use leed investigates credit allocation pattern leed certified project result show compare previous version leed v point chasing problem innovation relate credit mitigate however energyrelated materialrelated credit remain difficult developer obtain leed certified project perform differently water efficiency country level state level project perform differently water efficiency energy atmosphere material resource well indoor environmental quality vary credit achievement pattern also identify crosscertification cross sector level study offer useful guidance practitioner achieve relevant certification level regulatory authority continuously improve rating system,138.txt,51,25,4,8
child sexual abuse csa affect child annually united state primary obstacle success public health prevention strategy lack knowledge around community level risk factor csa evaluate community level characteristic child seek care suspect csa great houston area total incidence rate medical evaluation suspect csa child abstract medical chart child seek medical evaluation suspect csa three main medical system great houston area evaluate community level variable american community survey zip cod child live mean number case per great houston zip code range zip code case three site survey zip code high houston average rate vacant house never marry female unemployed labor force high family poverty rate associate increase rate child seek care suspect csa demonstrate zip code level characteristic associate increased rate child seek care suspect csa model process data implication community base strategy aim improved surveillance prevention csa process identify locally specific community level factor suggest target area particular socioeconomic characteristic associate increased rate seek csa evaluation,070.txt,77,27,4,10
aim assess knowledge attitude experience group malaysian dental health care provider regard child physical abuse cpa case term frequency occurrence diagnosis risk factor report method questionnaire distribute dental health care provider attend national paediatric dentistry conference kuantan malaysia demographical variable knowledge attitude experience cpa risk factor reason report abuse case collect descriptive statistic bivariance analysis perform level statistical significance apply analysis p result response rate half respondent state frequency occurrence cpa common malaysia full agreement dental health care provider determine concern identification sign cpa risk factor although aware report cpa legal requirement malaysia report case lack adequate history main reason report virtually twothirds respondent indicate received sufficient information cpa willing educate diagnose report child abuse case respectively conclusion considerable disparity respondent knowledge attitude regard occurrence sign suspect case risk factor report cpa despite aware case handful report enhancement education malaysian dental health care provider recognise report cpa recommend,064.txt,92,55,1,10
premature infant need stable thermal environment paper study infant weight employ standard heat regulation system incubator do two stage first weight sensor design mean use strain gauge order provide weight measurement later heat regulation circuit design implement mean use microcontroller humidity environmental skin temperature infant weight measure use input experiment show infant weight successfully add control circuit incubator instrument result show infant weight productively contribute temperature control good confidence average standard error equal degree c result reveal infant weight contribute increase quality assurance incubator,058.txt,45,19,0,2
lead intellectual challenge evolutionary genetics identify specific phenotype drive adaptation enzyme offer particularly promising opportunity pursue question many enzyme contribution organismal fitness depend comparatively small number experimentally accessible property moreover first principle demand enzyme thermostability stand opposition demand catalytic activity observation couple fact enzymes marginally thermostable motivates widely hold hypothesis mutation confer functional improvement require compensatory mutation restore thermostability explicitly test hypothesis first time use four missense mutation tem betalactamase jointly increase cefotaxime minimum inhibitory concentration mic similar fold first report enzymatic efficiency kcatkm thermostability tm thence delta g fold combination mutation next fit quantitative model predicts mic function kcatkm delta g kcatkm explain similar variance cefotaxime mic similar log transformation delta g improve explanatory power model also find cefotaxime mic rise slowly kcatkm predict several explanation discrepancy suggest finally demonstrate substantial sign epistasis mic kcatkm antagonistic pleiotropy phenotype spite near numerical additivity system thus constraint selectively accessible trajectory well limitation ability explain constraint term underlie mechanism observe comparatively wellbehaved system,201.txt,88,64,0,10
d mesh segmentation consider important process field computer graphic fundamental process different application shape reconstruction reverse engineering d model retrieval cadcam application etc consist subdivide polygonal surface patch uniform property either geometrical point view perceptualsemantic point view paper unsupervised cluster technique d mesh segmentation problem introduce kmeans fuzzy cmeans fcm cluster technique select development propose clusteringbased d mesh segmentation technique since mesh face consider main element cluster technique apply dual mesh d euclidean distance use distance measure compute match mesh element base empirical result benchmark dataset d mesh model fcmbased mesh segmentation technique outperforms kmeansbased one term accuracy consistency human segmentation,003.txt,56,24,0,8
action recognition aim automatically classify action series observation attract attention computer vision community stateoftheart action recognition method utilize dense sample trajectory build feature representation however performance limit due action region clutter camera motion real world application matter scenario change different background salient cue action highly dependent appearance motion base discovery paper propose novel saliencybased dense sample strategy name improve dense trajectory idt salient regionbased contrast boundary idtrcb without external human detector robust mask generate overcome limitation global contrast base saliency action sequence warp optical flow exploit adjust interest point sample remove subtle motion show appropriate pruning feature point achieve good balance saliency density sample point experiment conduct three benchmark datasets demonstrate effectiveness propose method specifically fusion deeplearned feature handcraft feature even improve recognition performance baseline dense sample method particular fusion scheme achieve stateoftheart accuracy hollywood ucf respectively,017.txt,68,39,0,1
silicosis occupational lung disease cause exposure small particle crystalline silica ultimately result diffuse pulmonary fibrosis evidence indicate antifibrotic role bone morphogenetic protein bmp bone marrow mesenchymal stem cell bmscs lung disease therefore strategy incorporate genetic engineering stem cell biology might tremendous potential treat critical injury diseases therefore modify bmscs overexpress bmp gene bmpbmscs lentivirus transduction evaluate whether fibrotic process inhibit cell vivo wistar rat divide four group control silica bmscs bmpbmscs control group receive saline silica group receive silica saline bmscs group receive silica bmscs bmpbmscs group receive silica bmpbmscs rat sacrifice day silica instillation hematoxylin eosin massons trichrome stain perform histological examination severity fibrosis evaluate level hydroxyproline fibronectin fn transform growth factor tgfbeta restoration alveolar epithelium detect epithelial marker surfactant protein spc aquaporin aqp histopathological result show bmpbmscs could remarkably block progression silicainduced fibrosis hydroxyproline fn tgfbeta content bmpbmscstreated group significantly low bmscs group p furthermore expression spc aqp bmpbmscstreated group significantly high bmscs group p conclusion pulmonary fibrosis induce silica rat significantly reduce treatment bmpbmscs bmscs antifibrotic effect bmscs strengthen bmp treatment bmpbmscs might potential therapeutic intervention silicosis c elsevier inc right reserve,188.txt,92,94,4,12
purpose study examine health child bear cosmetologist compare health child woman work occupation crosssectional data analyze cosmetologist woman occupation age year report least one live birth repeatedmeasures model used account lack independence among multiple pregnancy per participant result show cosmetologist occupation associate child learn disorder however strength association attenuate odds ratio statistically significant confounder adjustment cosmetologist occupation associate adverse health outcome among child bear woman occupation include urinarykidney health problem find indicate cosmetologist increase risk child medical problem compare woman occupation c elsevier inc right reserve,177.txt,61,16,5,1
